segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-006-S0001,O006-PSU-006,Lesson05,,cb4ad503e340ebd1a921e3ed6dcbfc0a80660936d8bfc9d190f70694b9ccb51b,Lessons,Pelajaran,translated
O006-PSU-006-S0002,O006-PSU-006,Lesson05,,cb8dcdf0ddc5a4c0a8c427c5a98d3fc1e990cc86bbf4758b526286fab1fdd6af,Maximum Likelihood Estimation (MLE) (Part II),Pendugaan Kemungkinan Maksimum (MLE) (Bagian II),translated
O006-PSU-006-S0003,O006-PSU-006,Lesson05,,cb8dcdf0ddc5a4c0a8c427c5a98d3fc1e990cc86bbf4758b526286fab1fdd6af,Maximum Likelihood Estimation (MLE) (Part II),Pendugaan Kemungkinan Maksimum (MLE) (Bagian II),translated
O006-PSU-006-S0004,O006-PSU-006,Lesson05,,2ba51b28da5b3a4e834a788db58084caf1b37e52630af7cd05852b315dcb817f,Point Estimation,Dasar-dasar R,translated
O006-PSU-006-S0005,O006-PSU-006,Lesson05,,3aa98e8fe10c2baf025b4f445d10a432701a6fd01f49a880d162a6bf3084df0c,Unbiased Estimation,Vektor dan Kerangka Data (Data Frame),translated
O006-PSU-006-S0006,O006-PSU-006,Lesson05,,5c2470002888bd8e7f0965f8d11c9e0ba6372a06eaad763b70d77b7dc029268d,Bias,Statistik Ringkasan dan Grafik,translated
O006-PSU-006-S0007,O006-PSU-006,Lesson05,,6a99db7f7b3f908afd6b459725e38efdc31b65bc5fbc1abd3d9f2b76985ef088,Variance and Mean Square,Distribusi Statistik dalam R,translated
O006-PSU-006-S0008,O006-PSU-006,Lesson05,,183ebddaaa90c204b6bb019d6c78a043efafc4348d28f675b047abe015711282,Factorization,Pencarian Grid,translated
O006-PSU-006-S0009,O006-PSU-006,Lesson05,,c375e59facbffc276c02435a035c9b8cf7a9acda90503a636cc9f03c333802b0,Sufficiency,Metode Newton–Raphson,translated
O006-PSU-006-S0010,O006-PSU-006,Lesson05,,6785164b561cbacfa7597f5e4af41d564dd21c0f54f04ca9094e07ecdd5bd644,Method of Moments,Optimisasi Numerik,translated
O006-PSU-006-S0011,O006-PSU-006,Lesson05,overview,d4b1ea5708dd532930a85188b45aff6f0a3ed458500c7577e0127a538eb0d100,Overview,Ikhtisar,translated
